Date,B/S,Quantity,Symbol,Description,Price,TransFee,ECNTaker,ECNMaker,ORFFee,TAFFee,SECFee,CATFee,Amount,Type,Commissions
45944,Sell,-200,BLNE,BLUE NILE INC,1.25,0,0,0,0,-0.58,-0.08,0,-250,Short,-7
45945,Buy,200,BLNE,BLUE NILE INC,1.18,0,0,0,0,-0.58,-0.08,0,236,Short,-7
45946,,,BLNE,9/15 C STOCK BORROW FEE BLNE,0,0,0,0,0,0,0,0,-5.03,Margin,0
45947,,,BLNE,9/16 C STOCK BORROW FEE BLNE,0,0,0,0,0,0,0,0,-3.50,Margin,0
45948,,,CASH,2.50000%16 DAYS,BAL=   $32583,0,0,0,0,0,0,0,0,125.50,Cash,0
45949,,,CASH,2.20000%14 DAYS,BAL=   $38742,0,0,0,0,0,0,0,0,98.75,Cash,0
45950,Sell,-1000,MNTS,MOMENTUS INC,1.81,0,0,0,0,-0.58,-0.08,0,1810,Short,-7
45951,Buy,1000,MNTS,MOMENTUS INC,1.72,0,0,0,0,-0.58,-0.08,0,-1720,Short,-7
45952,,,MNTS,10/13 C STOCK BORROW FEE MNTS,0,0,0,0,0,0,0,0,-8.25,Margin,0
45953,,,MNTS,10/14 STOCK BORROW FEE MNTS,0,0,0,0,0,0,0,0,-12.50,Margin,0
45954,,,GV,10/13 C STOCK BORROW FEE GV,0,0,0,0,0,0,0,0,-5.03,Margin,0
45955,,,SLE,10/10 C STOCK BORROW FEE SLE,0,0,0,0,0,0,0,0,-10.00,Margin,0
45956,,,QNRX,10/10 C STOCK BORROW FEE QNRX,0,0,0,0,0,0,0,0,-3.50,Margin,0
45957,,,SGBX,10/10 C STOCK BORROW FEE SGBX,0,0,0,0,0,0,0,0,-15.00,Margin,0
45958,,,QMMM,10/10 STOCK BORROW FEE QMMM,0,0,0,0,0,0,0,0,-39.98,Margin,0
45959,,,CASH,2.50000%31 DAYS,BAL=   $27032,0,0,0,0,0,0,0,0,185.25,Cash,0
45960,,,CASH,2.50000%30 DAYS,BAL=   $30764,0,0,0,0,0,0,0,0,168.90,Cash,0
45961,Sell,-500,RKDA,ARCADIA BIOSCIENCES INC,5.45,0,0,0,0,-0.58,-0.08,0,2725,Short,-7
45962,Buy,500,RKDA,ARCADIA BIOSCIENCES INC,5.24,0,0,0,0,-0.58,-0.08,0,-2620,Short,-7
45963,,,RKDA,10/10 C STOCK BORROW FEE RKDA,0,0,0,0,0,0,0,0,-7.50,Margin,0
45964,,,RKDA,10/11 STOCK BORROW FEE RKDA,0,0,0,0,0,0,0,0,-7.50,Margin,0
45965,,,RKDA,10/12 STOCK BORROW FEE RKDA,0,0,0,0,0,0,0,0,-7.50,Margin,0
45966,,,RKDA,10/13 STOCK BORROW FEE RKDA,0,0,0,0,0,0,0,0,-7.50,Margin,0
45967,,,RKDA,10/14 STOCK BORROW FEE RKDA,0,0,0,0,0,0,0,0,-7.50,Margin,0
45968,,,CASH,2.50000%29 DAYS,BAL=   $43286,0,0,0,0,0,0,0,0,198.75,Cash,0
45969,,,CASH,2.50000%28 DAYS,BAL=   $23985,0,0,0,0,0,0,0,0,110.25,Cash,0
45970,,,CASH,2.50000%31 DAYS,BAL=   $33547,0,0,0,0,0,0,0,0,154.15,Cash,0

